job_id,posting_year,country,region,city,company_name,company_size,industry,job_title,seniority_level,ai_mentioned,ai_keywords,ai_intensity_score,core_skills,ai_skills,salary_usd,salary_change_vs_prev_year_percent,automation_risk_score,reskilling_required,ai_job_displacement_risk,job_description_embedding_cluster,industry_ai_adoption_stage
c891dc0d-efe8-4d5f-a5cc-a0da63ee32fa,2020,China,East Asia,Berlin,NextGen Technologies,Startup,Agriculture,Operations Manager,Junior,True,machine learning,0.65,"Communication, Cloud Computing, Research",machine learning,100789,8.18,0.34,True,Low,6,Growing
11aee4b4-9c5c-4f89-93be-902d413ac1d0,2015,South Korea,East Asia,Sao Paulo,Future Solutions,Small,Agriculture,Systems Engineer,Junior,True,"machine learning, NLP, deep learning, computer vision",0.41,"Project Management, Data Analysis, Statistics, Python, Research, Software Engineering","machine learning, NLP, deep learning, computer vision",78717,2.49,0.18,True,High,17,Emerging
19d2b3fc-02a9-4ac5-9e2c-d9d917c332c0,2024,Bangladesh,South Asia,New York,NextGen Technologies,Small,Agriculture,AI Researcher,Junior,True,machine learning,0.77,"Cloud Computing, Software Engineering, Python, Statistics",machine learning,36092,15.69,0.17,True,Medium,7,Growing
1e40c792-ef9a-43c6-a3e7-e9558870b1fc,2021,Colombia,South America,London,Global Solutions,Startup,Agriculture,Systems Engineer,Junior,True,"machine learning, generative AI",0.6,"Data Analysis, Statistics, Research","machine learning, generative AI",69571,7.05,0.28,True,High,18,Growing
a01276f9-6d35-41ee-92f1-d15fdaea9fb0,2025,Egypt,Africa,Bangalore,NextGen Technologies,Startup,Agriculture,Research Scientist,Junior,True,"LLMs, MLOps",0.76,"Project Management, Statistics, Communication","LLMs, MLOps",31794,9.4,0.25,True,High,11,Growing
2b9c42f4-ffbe-445f-9c53-b8d50ee39576,2020,Colombia,South America,Lagos,Prime Analytics,Large,Agriculture,Software Engineer,Junior,True,"computer vision, NLP, machine learning, generative AI",0.42,"Statistics, Software Engineering, Data Analysis, Cloud Computing, Python, Business Analysis","computer vision, NLP, machine learning, generative AI",64426,9.31,0.4,True,Low,18,Growing
14d807d4-4de0-4847-ab5f-86347d3e6351,2024,Morocco,Africa,Tokyo,NextGen Solutions,Small,Agriculture,ML Engineer,Junior,True,reinforcement learning,0.66,"Project Management, Communication, Data Analysis, SQL, Software Engineering",reinforcement learning,35522,13.07,0.2,True,Low,11,Growing
346f7947-dc82-4209-b49b-490295e353b8,2023,Taiwan,East Asia,Bangalore,Future Solutions,Enterprise,Agriculture,Policy Analyst,Junior,True,NLP,0.67,"Business Analysis, Statistics, Communication, SQL, Python",NLP,104393,6.28,0.16,True,High,5,Growing
3529786b-085b-4680-b1f3-9418901025b3,2023,New Zealand,Oceania,Paris,Global Analytics,Enterprise,Agriculture,Product Manager,Junior,True,"NLP, reinforcement learning, LLMs, machine learning",0.93,"Project Management, Statistics, Python, Communication","NLP, reinforcement learning, LLMs, machine learning",115500,16.32,0.23,True,High,19,Growing
e6c8e578-7419-4f2d-9a68-bc9dd0a3caad,2018,New Zealand,Oceania,Bangalore,Global Systems,Startup,Agriculture,ML Engineer,Junior,True,"machine learning, reinforcement learning, NLP",0.84,"Statistics, Research, Project Management","machine learning, reinforcement learning, NLP",100609,14.68,0.21,True,Medium,18,Growing
016d2805-a133-4e33-be18-c603a487e31d,2020,United States,North America,Paris,NextGen Analytics,Enterprise,Agriculture,ML Engineer,Junior,True,"deep learning, MLOps",0.58,"Research, SQL, Software Engineering","deep learning, MLOps",112133,13.64,0.13,True,Low,12,Growing
